id	selection_tier	origin_rule	typed_reading	corrected_reading	expected_candidate	typed_keys	corrected_keys	mechanism	source	train_count	page_count	reverse_count	test_count	match_policy	builtin_collision_count
69	candidate	Yu	きゅり	きゅうり	きゅうり	kyuri	kyuuri	rewrite_yu_fallback	JWTD_v2_train	1	1	0	0	lattice_span_exact	0
70	candidate	Yu	ちゅごく	ちゅうごく	中国	tyugoku	tyuugoku	rewrite_yu_fallback	curated_seed	0	0	0	0	lattice_span_exact	0
72	candidate	Yu	ちゅしゃじょう	ちゅうしゃじょう	駐車場	tyusyajou	tyuusyajou	rewrite_yu_fallback	curated_seed	0	0	0	0	lattice_span_exact	0
73	candidate	Yu	ちゅい	ちゅうい	注意	tyui	tyuui	rewrite_yu_fallback	curated_seed	0	0	0	0	lattice_span_exact	0
74	candidate	Yu	うちゅせん	うちゅうせん	宇宙船	utyusen	utyuusen	rewrite_yu_fallback	curated_seed	0	0	0	0	raw_lattice_span_exact	0
75	candidate	Yu	きゅけい	きゅうけい	休憩	kyukei	kyuukei	rewrite_yu_fallback	curated_seed	0	0	0	0	lattice_span_exact	0
76	candidate	Yu	きゅきゅう	きゅうきゅう	救急	kyukyuu	kyuukyuu	rewrite_yu_fallback	curated_seed	0	0	0	0	lattice_span_exact	0
77	candidate	Yu	きゅじつ	きゅうじつ	休日	kyujitu	kyuujitu	rewrite_yu_fallback	curated_seed	0	0	0	0	lattice_span_exact	0
78	candidate	Yu	きゅりょう	きゅうりょう	給料	kyuryou	kyuuryou	rewrite_yu_fallback	curated_seed	0	0	0	0	lattice_span_exact	0
79	candidate	Yu	きゅそく	きゅうそく	休息	kyusoku	kyuusoku	rewrite_yu_fallback	curated_seed	0	0	0	0	lattice_span_exact	0
80	candidate	Yu	きゅしゅう	きゅうしゅう	九州	kyusyuu	kyuusyuu	rewrite_yu_fallback	curated_seed	0	0	0	0	lattice_span_exact	0
81	candidate	Yu	きゅじょ	きゅうじょ	救助	kyujo	kyuujo	rewrite_yu_fallback	curated_seed	0	0	0	0	lattice_span_exact	0
82	candidate	Yu	しゅまつ	しゅうまつ	週末	syumatu	syuumatu	rewrite_yu_fallback	curated_seed	0	0	0	0	lattice_span_exact	1
84	candidate	Yu	しゅにゅう	しゅうにゅう	収入	syunyuu	syuunyuu	rewrite_yu_fallback	curated_seed	0	0	0	0	lattice_span_exact	0
85	candidate	Yu	りゅがく	りゅうがく	留学	ryugaku	ryuugaku	rewrite_yu_fallback	curated_seed	0	0	0	0	lattice_span_exact	0
86	candidate	Yu	りゅこう	りゅうこう	流行	ryukou	ryuukou	rewrite_yu_fallback	curated_seed	0	0	0	0	lattice_span_exact	0
87	candidate	Yu	りゅつう	りゅうつう	流通	ryutuu	ryuutuu	rewrite_yu_fallback	curated_seed	0	0	0	0	lattice_span_exact	0
88	candidate	Yu	にゅがく	にゅうがく	入学	nyugaku	nyuugaku	rewrite_yu_fallback	curated_seed	0	0	0	0	lattice_span_exact	0
89	candidate	Yu	にゅいん	にゅういん	入院	nyuin	nyuuin	rewrite_yu_fallback	curated_seed	0	0	0	0	raw_lattice_span_exact	0
90	candidate	Yu	にゅりょく	にゅうりょく	入力	nyuryoku	nyuuryoku	rewrite_yu_fallback	curated_seed	0	0	0	0	lattice_span_exact	0
91	candidate	NI	れにょうけい	れんようけい	連用形	renyoukei	renyoukei	rewrite_ni_fallback	JWTD_v2_train	1	1	0	0	lattice_span_exact	0
92	candidate	NI	にほにゅうびん	にほんゆうびん	日本郵便	nihonyuubin	nihonyuubin	rewrite_ni_fallback	curated_seed	0	0	0	0	raw_lattice_span_exact	0
93	candidate	NI	せにょう	せんよう	専用	senyou	senyou	rewrite_ni_fallback	curated_seed	0	0	0	0	lattice_span_exact	0
94	candidate	NI	きにょうび	きんようび	金曜日	kinyoubi	kinyoubi	rewrite_ni_fallback	curated_seed	0	0	0	0	lattice_span_exact	0
96	candidate	NI	ぜにょう	ぜんよう	全容	zenyou	zenyou	rewrite_ni_fallback	curated_seed	0	0	0	0	lattice_span_exact	0
97	candidate	NI	てにょう	てんよう	転用	tenyou	tenyou	rewrite_ni_fallback	curated_seed	0	0	0	0	lattice_span_exact	0
98	candidate	NI	せにょうひん	せんようひん	専用品	senyouhin	senyouhin	rewrite_ni_fallback	curated_seed	0	0	0	0	raw_lattice_span_exact	0
99	candidate	NI	せにょうしゃ	せんようしゃ	専用車	senyousya	senyousya	rewrite_ni_fallback	curated_seed	0	0	0	0	lattice_span_exact	0
100	candidate	NI	せにょうせん	せんようせん	専用線	senyousen	senyousen	rewrite_ni_fallback	curated_seed	0	0	0	0	raw_lattice_span_exact	0
